percentage-of-(IP)-overall,percentage-of-(SF)-overall,percentage-of-(OM)-grocery,percentage-of-(SF)-grocery,number-of-(PO)-overall,number-of-(IR)-overall,number-of-(IS)-grocery,percentage-of-(IP-RN)-overall,percentage-of-(SBR-MINEG)-overall,percentage-of-(QM-IR)-overall,percentage-of-(SBR-SF)-overall,percentage-of-(OM-QM)-wine,percentage-of-(MIN-IR)-wine,percentage-of-(IP-SF)-grocery,percentage-of-(IP-IDN)-turns,percentage-of-(MIN-QR)-turns,percentage-of-(IDN-SBR)-turns,number-of-(IP-RN)-overall,number-of-(OM-RP)-overall,number-of-(IP-IDN)-turns,1-0020,1-0090,1-0091,1-0177,1-0432,1-0483,1-0605,1-0687,1-0891,1-1062,1-1702,1-1800,1-1886,2-0004,2-0112,2-0250,2-0254,2-0994,3-0030,3-0046,ID,mean_age,negative_experience,education,east.asian.time.in.us,cultural_intelligence,emotional.intelligence,IQ,extroversion,openness,profit.diff,profit.joint
0.0566037735849,0,0.0462962962963,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,63,21,no,Undergraduate,48,5.325,3.64204545454546,0.456028793053721,3.45,3.55,240,1400
0.115044247788,0,0.037037037037,0,6,2,0,0.00892857142857,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,64,24,no,Undergraduate,?,5.325,3.89393939393939,-0.550098655857909,2.95,3.5,460,1320
0.0949720670391,0.0111731843575,0.0,0.010989010989,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,26,no,Graduate,26,4.55,3.72727272727273,0.358642350207024,3.6,4,240,1320
0.164383561644,0.0205479452055,0.0117647058824,0.0352941176471,3,0,0,0.0275862068966,0.00689655172414,0,0,0,0,0.0119047619048,0.0114942528736,0,0,4,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20.5,no,Undergraduate,3,4.67105263157895,3.73030303030303,-0.305935498434477,2.9,3.55,0,1160
0.106194690265,0.00884955752212,0.0606060606061,0.0151515151515,2,2,1,0,0,0,0.00892857142857,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,26,yes,Graduate,53,5.175,4.01515151515151,-0.726350189652548,3.3,4.15,40,1240
0.161764705882,0,0.0,0,1,2,0,0.0149253731343,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,26,no,Graduate,31,4.5,3.77272727272727,-0.738697757585054,2.7,3.65,120,1240
0.197368421053,0.0131578947368,0.027027027027,0.027027027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,18.5,no,Undergraduate,48,4.75,3.81818181818181,-0.945818211210963,3.05,3.7,20,1240
0.136842105263,0,0.125,0,3,5,0,0,0,0.0212765957447,0,0.0217391304348,0.0217391304348,0,0,0.0212765957447,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,71,33.5,no,Graduate,17,4.775,3.77272727272728,0.638454110814612,3,3.9,0,1480
0.0979020979021,0,0.0337078651685,0,7,4,0,0,0,0,0,0,0.0377358490566,0,0,0.0133333333333,0,0,0,0,14,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,72,20.5,no,Undergraduate,3,5.4,3.81297348484849,0.187170499765275,3.1,3.3,100,1480
0.105263157895,0.00657894736842,0.025,0.0125,4,0,1,0.00662251655629,0,0,0,0.0140845070423,0,0,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,73,19.5,no,Undergraduate,48,4.425,3.6969696969697,-0.428017077146194,2.95,3.25,0,1320
0.235294117647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,74,18,no,Undergraduate,60,5.525,4.21212121212121,-0.836084200431755,4.05,4.15,0,1160
0.0967741935484,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,21.5,no,Undergraduate,60,4.225,3.16666666666667,0.248908339427814,3.15,3.35,0,1320
